DesignName,ParticipantID,TrialID,Block1,Trial,VV,OC
Preattentive Variables,5,199,2,4,Shadow,Medium
Preattentive Variables,5,200,2,5,Shadow,High
Preattentive Variables,5,201,2,6,Shadow,Low
Preattentive Variables,5,202,2,7,Shadow,High
Preattentive Variables,5,203,2,8,Shadow,Medium
Preattentive Variables,5,204,2,9,Shadow,Low
Preattentive Variables,5,205,2,10,Shadow,Medium
Preattentive Variables,5,206,2,11,Shadow,High
Preattentive Variables,5,207,2,12,Shadow,Low
Preattentive Variables,5,208,2,13,Shadow,High
Preattentive Variables,5,209,2,14,Shadow,Medium
Preattentive Variables,5,210,2,15,Shadow,Low
Preattentive Variables,5,211,3,1,Motion,High
Preattentive Variables,5,212,3,2,Motion,Medium
Preattentive Variables,5,213,3,3,Motion,Low
Preattentive Variables,5,214,3,4,Motion,Medium
Preattentive Variables,5,215,3,5,Motion,High
Preattentive Variables,5,216,3,6,Motion,Low
Preattentive Variables,5,217,3,7,Motion,High
Preattentive Variables,5,218,3,8,Motion,Medium
Preattentive Variables,5,219,3,9,Motion,Low
Preattentive Variables,5,220,3,10,Motion,Medium
Preattentive Variables,5,221,3,11,Motion,High
Preattentive Variables,5,222,3,12,Motion,Low
Preattentive Variables,5,223,3,13,Motion,High
Preattentive Variables,5,224,3,14,Motion,Medium
Preattentive Variables,5,225,3,15,Motion,Low
Preattentive Variables,6,226,1,1,Motion,Low
Preattentive Variables,6,227,1,2,Motion,High
Preattentive Variables,6,228,1,3,Motion,Medium
Preattentive Variables,6,229,1,4,Motion,High
Preattentive Variables,6,230,1,5,Motion,Low
Preattentive Variables,6,231,1,6,Motion,Medium
Preattentive Variables,6,232,1,7,Motion,Low
Preattentive Variables,6,233,1,8,Motion,High
Preattentive Variables,6,234,1,9,Motion,Medium
Preattentive Variables,6,235,1,10,Motion,High
Preattentive Variables,6,236,1,11,Motion,Low
Preattentive Variables,6,237,1,12,Motion,Medium
Preattentive Variables,6,238,1,13,Motion,Low
Preattentive Variables,6,239,1,14,Motion,High
Preattentive Variables,6,240,1,15,Motion,Medium
Preattentive Variables,6,241,2,1,Both,Low
Preattentive Variables,6,242,2,2,Both,High
Preattentive Variables,6,243,2,3,Both,Medium
Preattentive Variables,6,244,2,4,Both,High
Preattentive Variables,6,245,2,5,Both,Low
Preattentive Variables,6,246,2,6,Both,Medium
Preattentive Variables,6,247,2,7,Both,Low
Preattentive Variables,6,248,2,8,Both,High
Preattentive Variables,6,249,2,9,Both,Medium
Preattentive Variables,6,250,2,10,Both,High
Preattentive Variables,6,251,2,11,Both,Low
Preattentive Variables,6,252,2,12,Both,Medium
Preattentive Variables,6,253,2,13,Both,Low
Preattentive Variables,6,254,2,14,Both,High
Preattentive Variables,6,255,2,15,Both,Medium
Preattentive Variables,6,256,3,1,Shadow,Low
Preattentive Variables,6,257,3,2,Shadow,High
Preattentive Variables,6,258,3,3,Shadow,Medium
Preattentive Variables,6,259,3,4,Shadow,High
Preattentive Variables,6,260,3,5,Shadow,Low
Preattentive Variables,6,261,3,6,Shadow,Medium
Preattentive Variables,6,262,3,7,Shadow,Low
Preattentive Variables,6,263,3,8,Shadow,High
Preattentive Variables,6,264,3,9,Shadow,Medium
Preattentive Variables,6,265,3,10,Shadow,High
Preattentive Variables,6,266,3,11,Shadow,Low
Preattentive Variables,6,267,3,12,Shadow,Medium
Preattentive Variables,6,268,3,13,Shadow,Low
Preattentive Variables,6,269,3,14,Shadow,High
Preattentive Variables,6,270,3,15,Shadow,Medium
